필드명,설명,코드값
YOY_FAM_OWN_LIV_YN_CHYN,전년동기대비_자가거주여부_가구기준_변화여부,"0 : 부
1 : 여"
YOY_HOUS_LN_BAL_NEW_CHYN,전년동기대비_분기신규주담대출여부_변화여부,"0 : 부
1 : 여"
YOY_CRDT_LN_BAL_NEW_CHYN,전년동기대비_분기신규신용대출여부_변화여부,"0 : 부
1 : 여"
YOY_BUY_HOUS_ADM_CHYN,전년동기대비_신규구매주택시도코드_변화여부,"0 : 부
1 : 여"
YOY_BUY_HOUS_PRICE_CHYN,전년동기대비_신규구매주택시세_변화여부,"0 : 부
1 : 여"
YOY_SHP_CNT_CHYN,전년동기대비_사업체건수_변화여부,"0 : 부
1 : 여"
YOY_MX_SHP_ADM_CHYN,전년동기대비_매출최대사업체시도코드_변화여부,"0 : 부
1 : 여"
YOY_R3M_ITRT_FIN_PAY_CS,전년동기대비_금융_결제_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
YOY_R3M_ITRT_FIN_INSUR_CS,전년동기대비_금융_보험_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
YOY_R3M_ITRT_FIN_COIN_CS,전년동기대비_금융_암호화폐_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
YOY_R3M_ITRT_FIN_BANK_CS,전년동기대비_금융_은행/카드_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
YOY_R3M_ITRT_FIN_ASSET_CS,전년동기대비_금융_자산관리_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
YOY_R3M_ITRT_FIN_STOCK_CS,전년동기대비_금융_증권_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
YOY_R3M_ITRT_LIFE_HEALTH_CS,전년동기대비_생활_건강/운동/의료_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
YOY_R3M_ITRT_LIFE_DELIVERY_CS,전년동기대비_생활_배달/식음료_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
YOY_R3M_ITRT_LIFE_HOUSE_CS,전년동기대비_생활_부동산_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
YOY_R3M_ITRT_LIFE_MOVE_CS,전년동기대비_생활_이사/인테리어_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
YOY_R3M_ITRT_LIFE_CAR_CS,전년동기대비_생활_카라이프_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
YOY_R3M_ITRT_LIFE_KIDS_CS,전년동기대비_생활_키즈_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
YOY_R3M_ITRT_LIFE_BEAUTY_CS,전년동기대비_생활_뷰티_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
YOY_R3M_ITRT_SHOP_MART_CS,전년동기대비_쇼핑_백화점/대형마트/면세점_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
YOY_R3M_ITRT_SHOP_SOCIAL_CS,전년동기대비_쇼핑_소셜커머스_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
YOY_R3M_ITRT_SHOP_OPEN_CS,전년동기대비_쇼핑_오픈마켓_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
YOY_R3M_ITRT_SHOP_BEAUTY_CS,전년동기대비_쇼핑_패션/뷰티_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
YOY_R3M_ITRT_SHOP_JIKGU_CS,전년동기대비_쇼핑_해외직구_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
YOY_R3M_ITRT_LEISURE_SPORT_CS,전년동기대비_레저_스포츠_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
YOY_R3M_ITRT_LEISURE_TRAVEL_CS,전년동기대비_레저_여행_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
YOY_R3M_ITRT_LEISURE_HOTEL_CS,전년동기대비_레저_호텔/숙박_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
YOY_R3M_ITRT_ENT_SVOD_CS,전년동기대비_엔터_sVOD_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
YOY_R3M_ITRT_ENT_BROADCAST_CS,전년동기대비_엔터_동영상/방송_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
YOY_R3M_ITRT_ENT_RADIO_CS,전년동기대비_엔터_라디오_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
YOY_R3M_ITRT_ENT_PIC_CS,전년동기대비_엔터_사진_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
YOY_R3M_ITRT_ENT_WEBTOON_CS,전년동기대비_엔터_웹툰/애니_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
YOY_R3M_ITRT_ENT_MUSIC_CS,전년동기대비_엔터_음악_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
YOY_R3M_ITRT_INFO_NEWS_CS,전년동기대비_정보_뉴스_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
YOY_R3M_ITRT_INFO_BOOK_CS,전년동기대비_정보_도서/잡지_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
YOY_R3M_ITRT_INFO_BLOG_CS,전년동기대비_정보_블로그_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
YOY_R3M_ITRT_INFO_PORTAL_CS,전년동기대비_정보_포탈_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
YOY_R3M_ITRT_COMM_SNS_CS,전년동기대비_커뮤_SNS_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
YOY_R3M_ITRT_COMM_VOIP_CS,전년동기대비_커뮤_VoIP_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
YOY_R3M_ITRT_COMM_DATE_CS,전년동기대비_커뮤_데이트_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
YOY_R3M_ITRT_COMM_MESSENGER_CS,전년동기대비_커뮤_메신저_관심도_변화,"-1 : 감소
0 : 유지
1 : 증가"
