No,필드명,설명,코드여부,타입
334,R12M_M_DEP_L_AMT,최근12개월_마케팅_백화점_롯데백화점_이용금액,N,Int
335,R12M_M_DEP_S_AMT,최근12개월_마케팅_백화점_신세계백화점_이용금액,N,Int
336,R12M_M_DEP_H_AMT,최근12개월_마케팅_백화점_현대백화점_이용금액,N,Int
337,R12M_M_DEP_G_AMT,최근12개월_마케팅_백화점_갤러리아백화점_이용금액,N,Int
338,R12M_M_DEP_A_AMT,최근12개월_마케팅_백화점_AK플라자_이용금액,N,Int
339,R12M_M_DEP_I_AMT,최근12개월_마케팅_백화점_아이파크백화점_이용금액,N,Int
340,R12M_M_MART_E_AMT,최근12개월_마케팅_대형마트_이마트_이용금액,N,Int
341,R12M_M_MART_H_AMT,최근12개월_마케팅_대형마트_홈플러스_이용금액,N,Int
342,R12M_M_MART_L_AMT,최근12개월_마케팅_대형마트_롯데마트_이용금액,N,Int
343,R12M_M_MART_N_AMT,최근12개월_마케팅_대형마트_하나로마트_이용금액,N,Int
344,R12M_M_MART_ET_AMT,최근12개월_마케팅_대형마트_이마트트레이더스_이용금액,N,Int
345,R12M_M_MART_V_AMT,최근12개월_마케팅_대형마트_VIC마켓_이용금액,N,Int
346,R12M_MBR_USE_CNT,최근12개월_멤버십사용회수,N,Int
347,R12M_OUTSIDE_WDAY_CNT,최근12개월_평일집직장외방문횟수,N,Int
348,R12M_OUTSIDE_HDAY_CNT,최근12개월_휴일집직장외방문횟수,N,Int
349,R12M_HOME_WDAY_STAY_TIME,최근12개월_평일집근처총체류시간,N,Int
350,R12M_MOV_WDAY_DIST,최근12개월_평일이동총거리,N,Int
351,CPYT_FOOD_AMT_RT,전년총액대비_요식_이용금액비중,N,Num
352,CPYT_ENT_AMT_RT,전년총액대비_유흥_이용금액비중,N,Num
353,CPYT_DEP_AMT_RT,전년총액대비_백화점_이용금액비중,N,Num
354,CPYT_MART_AMT_RT,전년총액대비_대형할인점_이용금액비중,N,Num
